year,total,domestic,abroad
2001,100,42.1,57.9
2002,100,41.7,58.3
2003,100,40.6,59.4
2004,100,42.1,57.9
2005,100,41,59
2006,100,41.2,58.8
2007,100,52.3,47.7
2008,100,51.1,48.9
2009,100,53.9,46.1
2010,100,59.1,40.9
2011,100,62.5,37.2
2012,100,59.8,40.2
2013,100,74.4,25.6
2014,100,54.4,45.6
2015,100,64.6,35.4
2016,100,62,38
2017,100,53.9,46.1
2018,100,55.5,44.5
